SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,1617 23rd St,Manhattan Beach,CA,90266,2225000,5,5.0,,3636,4983,2006,,612,,,,,http://www.redfin.com/CA/Manhattan-Beach/1617-23rd-St-90266/home/6703272,,,N,Y,33.8941567,-118.3844944
PAST SALE,September-12-2017,Single Family Residential,11156 Mansel Ave,Inglewood,CA,90304,470000,3,2.0,101 - North Inglewood,1404,5974,2004,163,335,,Sold,,,http://www.redfin.com/CA/Inglewood/11156-Mansel-Ave-90304/home/8174841,CRMLS,TR17034057,N,Y,33.9327926,-118.3554512
PAST SALE,,Single Family Residential,4803 W 121st St,Hawthorne,CA,90250,530000,,,,1888,5553,1957,,281,,,,,http://www.redfin.com/CA/Hawthorne/4803-W-121st-St-90250/home/17244419,,,N,Y,33.9230382,-118.3615015
PAST SALE,September-19-2017,Single Family Residential,4821 W 132nd St,Hawthorne,CA,90250,660000,2,2.0,107 - Holly Glen/Del Aire,1193,5283,1944,156,553,,Sold,,,http://www.redfin.com/CA/Hawthorne/4821-W-132nd-St-90250/home/6669842,CRMLS,SB17139493,N,Y,33.9131397,-118.3620756
PAST SALE,September-19-2017,Single Family Residential,4861 W 142nd St,Hawthorne,CA,90250,682000,3,2.0,109 - Ramona/Burleigh,1414,8701,1930,156,482,,Sold,,,http://www.redfin.com/CA/Hawthorne/4861-W-142nd-St-90250/home/6676970,CRMLS,SB17159105,N,Y,33.90305,-118.363414
PAST SALE,September-26-2017,Single Family Residential,11022 Dalerose Ave,Lennox,CA,90304,405000,2,1.0,Lennox,902,5907,1948,149,449,,Sold,,,http://www.redfin.com/CA/Lennox/11022-Dalerose-Ave-90304/home/6484989,TheMLS,17-264336,N,Y,33.9353188,-118.3600028
PAST SALE,September-25-2017,Single Family Residential,5306 W 138th St,Hawthorne,CA,90250,1013000,3,2.5,107 - Holly Glen/Del Aire,2144,5003,1955,150,472,,Sold,,,http://www.redfin.com/CA/Hawthorne/5306-W-138th-St-90250/home/6672969,CRMLS,SB17181835,N,Y,33.906309,-118.3724416
PAST SALE,September-22-2017,Single Family Residential,4874 W 129th St,Hawthorne,CA,90250,780000,3,2.0,107 - Holly Glen/Del Aire,1829,7925,1952,153,426,,Sold,,,http://www.redfin.com/CA/Hawthorne/4874-W-129th-St-90250/home/6669231,CRMLS,PV17169740,N,Y,33.9152787,-118.3638515
PAST SALE,October-13-2017,Single Family Residential,5571 Palm Dr,Hawthorne,CA,90250,1260000,4,2.5,107 - Holly Glen/Del Aire,2514,46157,2013,132,501,192,Sold,,,http://www.redfin.com/CA/Hawthorne/5571-Palm-Dr-90250/home/58302436,CRMLS,SB17184615,N,Y,33.9127136,-118.3782238
PAST SALE,October-17-2017,Single Family Residential,4495 W 137th Pl W,Hawthorne,CA,90250,615000,3,1.75,109 - Ramona/Burleigh,1340,6150,1927,128,459,,Sold,,,http://www.redfin.com/CA/Hawthorne/4495-W-137th-Pl-90250/home/6491629,CRMLS,SB17206515,N,Y,33.9071759,-118.3548038
